Experimental,Predicted,TrainTest
2.66,41.288445,Train
5.12,41.288445,Train
15.4,41.288445,Train
23.84,41.288445,Train
32.18,41.288445,Train
104.22,41.288445,Train
105.6,41.288445,Train
50.5,61.582882,Train
72.33,72.332664,Train
72.67,61.582882,Train
17.92270531,51.739346,Train
40.9178744,51.739346,Train
58.16425121,51.739346,Train
61.88405797,51.739346,Train
64.92753623,51.739346,Train
66.61835749,51.739346,Train
4.979253112,15.186341,Train
9.751037344,15.186341,Train
20.22821577,15.186341,Train
20.33195021,15.186341,Train
20.64315353,15.186341,Train
24.8,24.801373,Train
34.25531915,108.936874,Train
75.95744681,108.936874,Train
104.2553191,108.936874,Train
119.1489362,108.936874,Train
141.4893617,108.936874,Train
144.4680851,108.936874,Train
142.9787234,108.936874,Train
108.7234043,252.97842,Train
202.5531915,252.97842,Train
241.2765957,252.97842,Train
280.0,252.97842,Train
309.787234,252.97842,Train
312.7659574,252.97842,Train
315.7446809,252.97842,Train
19.25826741,23.831324,Train
24.34715199,23.831324,Train
25.38099685,23.831324,Train
26.34084462,23.831324,Train
23.81225885,76.510445,Train
46.55895981,76.510445,Train
80.6229849,76.510445,Train
98.1010941,76.510445,Train
104.2174809,76.510445,Train
105.7333639,76.510445,Train
25.36458333,25.36533,Train
5.173210162,71.81882,Train
24.57274827,71.81882,Train
44.29561201,71.81882,Train
64.98845266,71.81882,Train
86.97459584,71.81882,Train
103.7875289,71.81882,Train
120.9237875,71.81882,Train
123.8337182,71.81882,Train
30.26932084,73.49755,Train
50.11709602,73.49755,Train
52.22482436,73.49755,Train
65.57377049,73.49755,Train
74.70725995,73.49755,Train
93.50117096,73.49755,Train
96.83840749,73.49755,Train
98.59484778,73.49755,Train
99.64871194,73.49755,Train
0.505106572,36.002834,Train
4.83245662,36.002834,Train
6.996345129,36.002834,Train
10.36258369,36.002834,Train
14.93031835,36.002834,Train
19.73843763,36.002834,Train
24.54741085,36.002834,Train
29.59634171,36.002834,Train
39.69463041,36.002834,Train
59.17261579,36.002834,Train
73.3685442,36.002834,Train
87.80272237,36.002834,Train
96.49414196,36.002834,Train
0.745064216,32.894463,Train
2.668995081,32.894463,Train
6.515575898,32.894463,Train
9.882241426,32.894463,Train
14.93202623,32.894463,Train
24.54783782,32.894463,Train
29.59719566,32.894463,Train
39.45638065,32.894463,Train
49.55637724,32.894463,Train
58.9377818,32.894463,Train
72.90271895,32.894463,Train
84.97959079,32.894463,Train
0.504679601,36.879925,Train
2.187371909,36.879925,Train
7.476687389,36.879925,Train
9.880533543,36.879925,Train
15.16984902,36.879925,Train
25.26856469,36.879925,Train
30.07839186,36.879925,Train
39.45638065,36.879925,Train
49.31898142,36.879925,Train
58.46427108,36.879925,Train
71.96338298,36.879925,Train
81.20901079,36.879925,Train
88.47050485,36.879925,Train
20.8,20.80701,Train
24.53333333,26.53266,Train
26.66666667,26.53266,Train
27.2,26.53266,Train
27.73333333,26.53266,Train
20.8,47.866478,Train
48.53333333,47.866478,Train
58.13333333,47.866478,Train
64.0,47.866478,Train
24.09836066,64.868614,Train
46.2295082,64.868614,Train
65.90163934,64.868614,Train
88.03278689,64.868614,Train
100.0819672,64.868614,Train
2.013422819,72.28573,Train
5.637583893,72.28573,Train
10.87248322,72.28573,Train
22.86885246,72.28573,Train
22.95302013,72.28573,Train
31.81208054,72.28573,Train
52.34899329,72.28573,Train
57.18120805,72.28573,Train
57.54098361,72.28573,Train
111.3934426,72.28573,Train
149.0163934,72.28573,Train
163.0327869,72.28573,Train
162.295082,72.28573,Train
163.0327869,72.28573,Train
25.0,95.17893,Train
46.25,95.17893,Train
93.75,95.17893,Train
125.0,95.17893,Train
128.75,95.17893,Train
125.0,95.17893,Train
122.5,95.17893,Train
23.75,86.60582,Train
47.5,86.60582,Train
85.0,86.60582,Train
100.0,86.60582,Train
120.0,86.60582,Train
107.5,86.60582,Train
122.5,86.60582,Train
5.105633803,47.87244,Train
31.31455399,47.87244,Train
37.44131455,47.87244,Train
53.2444668,47.87244,Train
58.07658451,47.87244,Train
67.10261569,47.87244,Train
82.82472613,47.87244,Train
84.24295775,33.96211,Train
2.535211268,33.96211,Train
8.450704225,33.96211,Train
27.46478873,33.96211,Train
47.11267606,33.96211,Train
34.95050106,232.9475,Train
52.42805218,232.9475,Train
56.80146598,232.9475,Train
74.27901711,232.9475,Train
332.1102806,232.9475,Train
383.1165707,232.9475,Train
428.327685,232.9475,Train
501.5668372,232.9475,Train
18.77274936,145.23167,Train
40.75098932,145.23167,Train
79.21290924,145.23167,Train
117.6807799,145.23167,Train
147.3692563,145.23167,Train
196.9849346,145.23167,Train
207.0417646,145.23167,Train
237.9382507,145.23167,Train
261.3387287,145.23167,Train
4.081632653,160.88431,Train
8.163265306,160.88431,Train
12.24489796,160.88431,Train
44.89795918,160.88431,Train
85.71428571,160.88431,Train
148.9795918,160.88431,Train
202.0408163,160.88431,Train
244.8979592,160.88431,Train
269.3877551,160.88431,Train
287.755102,160.88431,Train
295.9183673,160.88431,Train
326.5306122,160.88431,Train
11.98237885,50.28096,Train
40.88105727,50.28096,Train
50.39647577,50.28096,Train
58.14977974,50.28096,Train
70.13215859,50.28096,Train
70.13215859,50.28096,Train
8.45814978,30.013224,Train
20.44052863,30.013224,Train
25.72687225,30.013224,Train
40.52863436,30.013224,Train
42.2907489,30.013224,Train
42.64317181,30.013224,Train
4.933920705,26.130098,Train
17.97356828,26.130098,Train
23.96475771,26.130098,Train
30.30837004,26.130098,Train
35.94713656,26.130098,Train
34.88986784,26.130098,Train
34.88986784,26.130098,Train
20.46086073,51.561752,Train
38.33554111,51.561752,Train
45.4140353,51.561752,Train
54.02144111,51.561752,Train
60.77539201,51.561752,Train
70.86858076,51.561752,Train
71.05942516,51.561752,Train
17.37716028,36.902637,Train
28.15825144,36.902637,Train
32.45818059,36.902637,Train
41.07097748,36.902637,Train
45.35688981,36.902637,Train
46.83081236,36.902637,Train
47.06370722,36.902637,Train
14.59428237,31.586456,Train
25.98672253,31.586456,Train
36.75379686,31.586456,Train
40.3464157,31.586456,Train
40.25153261,31.586456,Train
24.01204975,65.48267,Train
43.74093029,65.48267,Train
56.67433273,65.48267,Train
73.31271055,65.48267,Train
80.68638248,65.48267,Train
114.4665069,65.48267,Train
23.39530967,70.92466,Train
41.8884426,70.92466,Train
58.52682042,70.92466,Train
62.81225706,70.92466,Train
76.97913967,70.92466,Train
107.0542887,70.92466,Train
125.8172454,70.92466,Train
20.92381446,68.09878,Train
36.3287121,68.09878,Train
52.35034983,68.09878,Train
69.5941306,68.09878,Train
74.50991189,68.09878,Train
101.4945582,68.09878,Train
121.4932625,68.09878,Train
2.50430312,13.5590725,Train
4.950542306,13.5590725,Train
6.880519832,13.5590725,Train
12.79909503,13.5590725,Train
16.91712454,13.5590725,Train
21.86112761,13.5590725,Train
28.99972189,13.5590725,Train
0.23255814,43.255913,Train
26.74418605,43.255913,Train
41.39534884,43.255913,Train
46.04651163,43.255913,Train
60.23255814,43.255913,Train
84.88372093,43.255913,Train
4.5,92.39915,Train
25.2,92.39915,Train
50.4,92.39915,Train
75.6,92.39915,Train
98.1,92.39915,Train
122.4,92.39915,Train
136.8,92.39915,Train
154.8,92.39915,Train
163.8,92.39915,Train
4.5,90.70034,Train
25.2,90.70034,Train
50.4,90.70034,Train
75.6,90.70034,Train
